变量,N,均值,标准差,最小值,最大值
res,29485,0.5881281913018854,0.053895366980697926,0.3444397463487292,0.731071395691274
Dea,29485,2.206780408337885,1.3308682293635046,0.0,6.606650186198215
Breadth,29485,1.2446870393632246,1.0755511626656287,0.0,5.84354441703136
Depth,29485,1.8397402172262087,1.3462612651838841,0.0,6.3818160174060985
lnage,29485,2.1370834574641524,0.8396066025999098,0.0,3.5263605246161616
lnsize,29485,22.28936026396174,1.3006220662463532,15.57726067555198,28.696876893319175
klr,29478,3290621.1543387743,4364634.073035697,360911.37504335685,31480800.206632007
lev,29485,0.4145567450907241,0.19966588642404304,0.058622679999999996,0.8996441199999999
bsize,29484,2.105734026626625,0.19588471174004857,1.0986122886681098,2.8903717578961645
dual,28739,0.31563380771773547,0.4647758853909142,0.0,1.0
lnrd,29485,16.628942813274424,5.169898059123224,0.0,21.994807251639845
indrate,29484,0.12275742530232613,0.024185243511414285,0.04850792888093508,0.31768612220560427
own,28414,0.3572046401773774,0.16763058553940965,7e-06,0.8998999999999999
