变量,剔除分位,系数,标准误,p值,N,删除比例
Dea,全样本,-0.0012882688453032475,0.0005468173172981998,0.018483871026495624,28739,0.0%
Dea,P2,0.00011991091409817562,0.0005405384305158229,0.8244434359560873,28164,2.0%
Dea,P3,0.0006645386951255745,0.0005412703605748568,0.2195574242839171,27876,3.0%
Dea,P5,0.0017618651570352718,0.0005428693130131053,0.0011742759863120344,27302,5.0%
Dea,P10,0.0037901173910912275,0.0005581250069940424,1.1444845071650889e-11,25865,10.0%
Breadth,全样本,-0.0014805159645426289,0.0005647939956686215,0.0087640460297842,28739,0.0%
Breadth,P2,0.0002681333495896742,0.0005419191593413963,0.6207566735001662,28164,2.0%
Breadth,P3,0.0008935349724949072,0.0005449898622322289,0.10111350517124373,27876,3.0%
Breadth,P5,0.0020932230579262323,0.0005490871276169956,0.0001381064360972406,27302,5.0%
Breadth,P10,0.004742292851526537,0.0005650717105734128,0.0,25865,10.0%
Depth,全样本,-0.0008823389873933237,0.0005117809647011562,0.08471059636262135,28739,0.0%
Depth,P2,0.00047037190527865117,0.0005038323761962026,0.3505259976595767,28164,2.0%
Depth,P3,0.0009255535628869937,0.0005016107480988526,0.06502655596259554,27876,3.0%
Depth,P5,0.001899527256630592,0.0005018899765528585,0.00015426006236962664,27302,5.0%
Depth,P10,0.004254966337990058,0.0005221968512708265,4.440892098500626e-16,25865,10.0%
